path,bytes,sha256,error
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd.zip",2929934,96d643f1c0c2872cdc0ee926a9c6b640e2cf00b6dcad65a00796b5e7d66dc08b,
"POLYPROPHET-d7caab64012693e891e106a51dd8f1ad7b90dddd.zip",2422777,69bad36674b7b01e8f403f9a5a22990f0fbccbfb8c47d352c8795895f4bcbc58,
"cursor_chat_name_generation_instruction.md",2417384,35807a986c2c036ac9f8004706c8778f0ebd4028f2bbf6eba2c99fd2a15df942,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\server.js",488187,0cd5521fbd9866fd5ddbc995258857aec60e9e56ba1840b1f7a9a41950993d32,
"p2\\debug\\polyprophet_debug_2025-12-28T06-00-21-220Z.json",251893,96310162d21280928ac8c90f2f3220995f90a6c9825eba29538c4eb762430029,
"p2\\debug\\polyprophet_debug_2025-12-28T05-31-56-485Z.json",250549,dbe31b1ef5e115ffdd4d7bc81b1fbcee4d6abc7bd721272c37352b1b6ee148e8,
"p2\\debug\\polyprophet_debug_2025-12-28T06-30-04-550Z.json",249350,2d28c2ee389201a7509d62c0d2e57aee2963ffa76ad6bc91f6b808edfa1aca29,
"p2\\debug\\polyprophet_debug_2025-12-27T22-04-59-755Z.json",248609,ee0170ac216450c97026e0fac41316a2ce2ce64d921d678394ecc9000e14e1df,
"p2\\debug\\polyprophet_debug_2025-12-27T20-58-00-752Z.json",248410,3827c3edeba2fbf6995d4cb1d891e565974790006d53b17dbc9cdc4c50983fd7,
"p2\\debug\\polyprophet_debug_2025-12-27T19-02-36-695Z.json",245074,6acc7eec9e1390f4b9323da861044269e90bab115d18226407744555e01784ab,
"p2\\debug\\polyprophet_debug_2025-12-18T10-59-02-670Z.json",244914,38b81988b9c8912e10df1e8477961fca6a5b93c521c9d02c77a89cc1c112536a,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\debug\\polyprophet_debug_2025-12-18T10-59-02-670Z.json",244914,38b81988b9c8912e10df1e8477961fca6a5b93c521c9d02c77a89cc1c112536a,
"p2\\debug\\polyprophet_debug_2025-12-27T22-15-03-392Z.json",243856,06d945c7daa394b3b7862d2766e0ba3b6b04ca8d57c4713d50133d26a0bd001e,
"p2\\debug\\polyprophet_debug_2025-12-27T18-26-49-053Z.json",243746,35c5e654f8f73f44db460962640baef592bd0b17256bf1b98d1fb96dcd01fe3a,
"p2\\debug\\polyprophet_debug_2025-12-27T17-12-55-378Z.json",241734,6d366457827036b13dc188d635f74c103161a5b7fa2bdf7c6ccfabfab3199bcc,
"p2\\debug\\polyprophet_debug_2025-12-27T16-41-25-005Z.json",241656,2c0290e9f7d97f5e23b50ebe0b5f7b9a8eaf5315ef3213fa666c0751624f0c69,
"p2\\debug\\polyprophet_debug_2025-12-27T15-48-48-538Z.json",240070,0762923b70073c9816b1e3fb628eda9c53e47faba98eb4a922b96eb8926136b6,
"p2\\debug\\polyprophet_debug_2025-12-19T12-20-26-784Z.json",240032,e77227e6e3dae0f937e9fe21ac7686b63b0c463057ae2385f44b90ce93a9b493,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\debug\\polyprophet_debug_2025-12-19T12-20-26-784Z.json",240032,e77227e6e3dae0f937e9fe21ac7686b63b0c463057ae2385f44b90ce93a9b493,
"p2\\debug\\polyprophet_debug_2025-12-27T14-26-26-713Z.json",239538,c52120d29252b10eee4928ebb158f979f39617c18768eaa3cc60fddaaea0e818,
"p2\\debug\\polyprophet_debug_2025-12-25T07-33-34-462Z.json",239145,4734a52b89e62e7cb39d655723fd2b782a397e9aead781896f680c61eb334953,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\debug\\polyprophet_debug_2025-12-25T07-33-34-462Z.json",239145,4734a52b89e62e7cb39d655723fd2b782a397e9aead781896f680c61eb334953,
"p2\\debug\\polyprophet_debug_2025-12-27T15-13-40-475Z.json",239117,7aab44eabc41c9947ee37c3331fb5884bf4b00eae56d76d92ea62bdb30e09fb3,
"p2\\debug\\polyprophet_debug_2025-12-23T15-25-48-825Z.json",238365,a7461cc3193f1790b8c09f50c2d055977535ddd2c920f30c4db4c3b7d664b215,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\debug\\polyprophet_debug_2025-12-23T15-25-48-825Z.json",238365,a7461cc3193f1790b8c09f50c2d055977535ddd2c920f30c4db4c3b7d664b215,
"p2\\debug\\polyprophet_debug_2025-12-23T09-46-08-879Z.json",238364,246a17808b42717e3bbe50a2987abb9df5ffbab11c0f8d65e8df414589e307ba,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\debug\\polyprophet_debug_2025-12-23T09-46-08-879Z.json",238364,246a17808b42717e3bbe50a2987abb9df5ffbab11c0f8d65e8df414589e307ba,
"p2\\debug\\polyprophet_debug_2025-12-27T13-06-12-787Z.json",237792,632d12fba148b55c47a912f5d641bff33ca95a57bb6ca92478fb6b7595f16768,
"p2\\debug\\polyprophet_debug_2025-12-20T17-56-27-218Z.json",237698,63d70aac90912cf5ad9acdbd2dbfe04b13a653e74e6bd0b69f56a0ce6eecd25f,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\debug\\polyprophet_debug_2025-12-20T17-56-27-218Z.json",237698,63d70aac90912cf5ad9acdbd2dbfe04b13a653e74e6bd0b69f56a0ce6eecd25f,
"p2\\debug\\polyprophet_debug_2025-12-27T12-44-54-802Z.json",237430,6a3c6e4a961d6270f5ff1da67aa7d34342a788e8b234358473bd688b31f68db7,
"p2\\debug\\polyprophet_debug_2025-12-27T14-46-40-801Z.json",237298,5078dd9e4c24664ae8cb61c6fc1e6f8ce8b26fb7c739de0f1f847798d29ebd7c,
"p2\\debug\\polyprophet_debug_2025-12-25T02-00-13-000Z.json",236581,2550790f4cb0be80a8075144d95008984ccea396c2e3d58551d7acfeba271fe2,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\debug\\polyprophet_debug_2025-12-25T02-00-13-000Z.json",236581,2550790f4cb0be80a8075144d95008984ccea396c2e3d58551d7acfeba271fe2,
"p2\\debug\\polyprophet_debug_2025-12-24T16-06-45-883Z.json",236493,70d9978433f8c0ae3bb591b00fb53ef38486c15cfd8d209cd62ea95c459f1c94,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\debug\\polyprophet_debug_2025-12-24T16-06-45-883Z.json",236493,70d9978433f8c0ae3bb591b00fb53ef38486c15cfd8d209cd62ea95c459f1c94,
"p2\\debug\\polyprophet_debug_2025-12-27T04-50-47-240Z.json",236131,51ad473d03bf88bc1de3e9473c908e56811eca4d7b3b3e355db4d90d316d1a62,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\debug\\polyprophet_debug_2025-12-27T04-50-47-240Z.json",236131,51ad473d03bf88bc1de3e9473c908e56811eca4d7b3b3e355db4d90d316d1a62,
"p2\\debug\\polyprophet_debug_2025-12-23T02-33-09-871Z.json",235586,bff7150e6f6ebcf5da3ba91bc3facb9229b870c043de841dab95524854edca68,
"POLYPROPHET-2d998c92e045c0110cc2864b53e62c70e0ccefbd\\debug\\polyprophet_debug_2025-12-23T02-33-09-871Z.json",235586,bff7150e6f6ebcf5da3ba91bc3facb9229b870c043de841dab95524854edca68,
"p2\\debug\\polyprophet_debug_2025-12-25T00-56-51-502Z.json",235248,21e1f34dfcce18a1ce1ba5931b58753bef6bf1fb320beb31865058ce8eb1139f,
