window,stakeFraction,fillBumpCents,slippagePct,endingBalance,roiPct,maxDrawdownPct,executed,blocked,wins,losses,winRatePct,halt_globalStop,halt_cooldown,halt_circuitBreaker,halt_floor,halt_ruin,halt_riskEnvelope,halt_minOrder,halt_miss
1w,0.05,0,0,19.901362385755657,99.01362385755658,10.113297187499999,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,1,0,19.331219622780615,93.31219622780615,10.105617812500007,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,2,0,18.776129539993686,87.76129539993687,10.098085937499999,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,3,0,18.235438533975433,82.35438533975433,10.090716562500006,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,4,0,17.708523640888387,77.08523640888387,10.08352468750001,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,5,0,17.194790605255605,71.94790605255605,10.076525312500006,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,6,0,16.69367209325869,66.93672093258691,10.069733437499995,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,7,0,16.204626038070487,62.046260380704865,10.063164062500007,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,8,0,15.727134105957228,57.27134105957228,10.056832187500007,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,9,0,15.26070027297236,52.6070027297236,10.050752812500008,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,10,0,14.804849503034085,48.048495030340845,10.044940937500009,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,0,0.01,19.47290364258235,94.7290364258235,10.107486193203439,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,1,0.01,18.908556536739784,89.08556536739785,10.099841876461557,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,2,0.01,18.359057280203263,83.59057280203264,10.092359730117195,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,3,0.01,17.82375663026986,78.2375663026986,10.085055208685318,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,4,0.01,17.302035680456438,73.02035680456439,10.077943766680946,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
1w,0.05,5,0.01,16.79330394839913,67.93303948399132,10.07104085861906,35,0,34,1,97.14285714285714,0,0,0,0,0,0,0,0
