window,stakeFraction,fillBumpCents,slippagePct,endingBalance,roiPct,maxDrawdownPct,executed,blocked,wins,losses,winRatePct,halt_globalStop,halt_cooldown,halt_circuitBreaker,halt_floor,halt_ruin,halt_riskEnvelope,halt_minOrder,halt_miss
1w,0.05,0,0,12.605523623314589,26.05523623314589,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,1,0,12.46199947779205,24.6199947779205,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,2,0,12.322133659778807,23.221336597788067,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,3,0,12.185769308630903,21.857693086309027,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,4,0,12.052756669973975,20.527566699739754,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,5,0,11.922952660449567,19.229526604495675,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,6,0,11.796220464088675,17.96220464088675,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,7,0,11.672429157661506,16.724291576615062,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,8,0,11.551453362603503,15.514533626035032,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,9,0,11.433172921342404,14.33172921342404,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,10,0,11.317472596052284,13.174725960522835,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,0,0.01,12.49485456521912,24.948545652191196,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,1,0.01,12.352765112177265,23.527651121772646,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,2,0.01,12.214282433775773,22.142824337757734,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,3,0.01,12.079250679719499,20.792506797194985,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,4,0.01,11.9475210356238,19.47521035623801,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,5,0.01,11.818951292070263,18.189512920702633,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,6,0.01,11.693405444976573,16.934054449765732,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,7,0.01,11.570753324655671,15.707533246556709,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,8,0.01,11.450870251188068,14.508702511880678,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,9,0.01,11.333636713953558,13.336367139535579,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,10,0.01,11.218938073367928,12.189380733679283,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,0,0.02,12.386366531915863,23.86366531915863,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,1,0.02,12.24567197430184,22.456719743018407,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,2,0.02,12.108532920261172,21.085329202611724,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,3,0.02,11.974794493834914,19.747944938349136,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,4,0.02,11.844308785995102,18.443087859951017,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,5,0.02,11.716934427925445,17.169344279254446,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,6,0.02,11.59253619530912,15.925361953091208,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,7,0.02,11.470984641024597,14.709846410245966,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,8,0.02,11.352155753896676,13.521557538966764,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,9,0.02,11.235930641370029,12.359306413700288,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.05,10,0.02,11.12219523417007,11.221952341700696,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,0,0,12.92786179089268,29.278617908926797,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,1,0,12.748682420153951,27.486824201539513,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,2,0,12.576196138243592,25.76196138243592,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,3,0,12.410027061471883,24.10027061471883,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,4,0,12.249824330757825,22.49824330757825,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,5,0,12.095260080559578,20.952600805595782,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,6,0,11.946027599175714,19.460275991757143,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,7,0,11.801839660062104,18.01839660062104,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,8,0,11.66242700621622,16.624270062162196,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,9,0,11.527536971775737,15.275369717757368,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,10,0,11.39693222680501,13.9693222680501,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,0,0.01,12.789490504948567,27.894905049485676,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,1,0.01,12.613780943004864,26.137809430048637,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,2,0.01,12.444598373890686,24.445983738906865,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,3,0.01,12.281575889960108,22.815758899601075,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,4,0.01,12.12437094271587,21.243709427158706,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,5,0.01,11.972663369288219,19.726633692882185,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,6,0.01,11.82615360462527,18.261536046252704,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,7,0.01,11.684561059667429,16.845610596674288,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,8,0.01,11.547622648108842,15.476226481088418,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,9,0.01,11.41509144637696,14.150914463769606,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,10,0.01,11.286735473230333,12.867354732303331,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,0,0.02,12.655125400163044,26.551254001630443,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,1,0.02,12.482756950411316,24.82756950411316,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,2,0.02,12.31675482552044,23.16754825520441,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,3,0.02,12.156760739356937,21.567607393569368,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,4,0.02,12.002440126391178,20.024401263911784,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,5,0.02,11.853480223350484,18.53480223350484,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,6,0.02,11.709588331167302,17.095883311673017,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,7,0.02,11.570490238095449,15.704902380954486,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,8,0.02,11.43592878712402,14.359287871240198,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,9,0.02,11.305662572783314,13.05662572783314,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.1,10,0.02,11.17946475415065,11.794647541506507,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,0,0,14.658951309698912,46.58951309698912,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,1,0,14.359334366834865,43.59334366834865,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,2,0,14.072601067368492,40.72601067368492,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,3,0,13.797954547515989,37.97954547515989,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,4,0,13.534656810993301,35.34656810993301,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,5,0,13.282023545774019,32.82023545774019,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,6,0,13.039419465171681,30.39419465171681,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,7,0,12.806254113801392,28.062541138013923,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,8,0,12.58197808642096,25.81978086420961,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,9,0,12.366079614079219,23.660796140792186,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,10,0,12.158081477559831,21.58081477559831,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,0,0.01,14.427404712372201,44.27404712372201,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,1,0.01,14.134928191799661,41.34928191799661,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,2,0.01,13.854956314170291,38.54956314170291,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,3,0.01,13.586716027353825,35.86716027353825,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,4,0.01,13.329491241030999,33.29491241030998,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,5,0.01,13.08261782108378,30.826178210837796,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,6,0.01,12.845479089598339,28.454790895983383,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,7,0.01,12.617501773238795,26.175017732387946,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,8,0.01,12.398152349909955,23.98152349909955,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,9,0.01,12.186933749809745,21.869337498097448,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,10,0.01,11.98338237232191,19.83382372321911,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,0,0.02,14.203582270676945,42.03582270676945,0,9,0,9,0,100,0,0,0,0,0,0,0,0
1w,0.15,1,0.02,13.917952201123077,39.17952201123077,0,9,0,9,0,100,0,0,0,0,0,0,0,0
